Date,Open,High,Low,Close
13-Nov-2016,"705,2","705,26","687,32","702,03"
12-Nov-2016,"716,75","717,15","704,04","705,05"
11-Nov-2016,"715,56","718,32","714,41","716,41"
10-Nov-2016,"722,84","723,02","711,21","715,53"
09-Nov-2016,"709,83","740,05","708,61","723,27"
08-Nov-2016,"703,09","712,99","702,39","709,85"
07-Nov-2016,"710,74","710,74","699,9","703,13"
06-Nov-2016,"703,81","714,26","699,56","711,52"
05-Nov-2016,"703,53","707,51","697,74","703,42"
04-Nov-2016,"689,12","706,93","685,56","703,24"
03-Nov-2016,"742,35","745,77","678,16","688,7"
02-Nov-2016,"730,07","740,83","722,35","740,83"
01-Nov-2016,"701,34","736,45","701,34","729,79"
31-Oct-2016,"702,64","709,29","691,68","700,97"
30-Oct-2016,"714,12","714,12","696,48","701,86"
29-Oct-2016,"690,29","720,4","690,05","714,48"
28-Oct-2016,"688","690,44","684,16","689,65"
27-Oct-2016,"678,21","688,59","678,04","688,31"
26-Oct-2016,"657,68","679,73","657,68","678,3"
25-Oct-2016,"654","664,42","653,7","657,59"
24-Oct-2016,"657,16","657,25","652,6","653,76"
23-Oct-2016,"657,62","661,13","653,89","657,07"
22-Oct-2016,"633,14","658,2","632,85","657,29"
21-Oct-2016,"630,83","634,09","630,69","632,83"
20-Oct-2016,"630,66","631,92","628,26","630,86"
19-Oct-2016,"638,13","638,87","628,01","630,52"
18-Oct-2016,"639,41","640,74","636","637,96"
17-Oct-2016,"641,82","642,33","638,66","639,19"
16-Oct-2016,"639,08","642,9","638,9","641,63"
15-Oct-2016,"640,31","642,1","637,39","638,65"
14-Oct-2016,"637,01","641,29","637,01","640,38"
13-Oct-2016,"636,03","638,83","635,03","636,79"
12-Oct-2016,"640,87","641,34","635,97","636,19"
11-Oct-2016,"619,24","642,08","618,5","641,07"
10-Oct-2016,"616,82","621,32","616,2","618,99"
09-Oct-2016,"619,17","619,2","616,61","616,75"
08-Oct-2016,"617,34","619,85","617,34","619,11"
07-Oct-2016,"612,61","617,91","611,82","617,12"
06-Oct-2016,"612,47","613,82","611,47","613,02"
05-Oct-2016,"610,22","613,81","609,62","612,51"
04-Oct-2016,"612,05","612,05","609,48","610,2"
03-Oct-2016,"610,97","612,57","610,46","612,13"
02-Oct-2016,"613,95","614,01","609,68","610,89"
01-Oct-2016,"609,93","615,24","609,93","613,98"
30-Sep-2016,"605,72","609,74","604,14","609,74"
29-Sep-2016,"605,02","606,82","604,85","605,69"
28-Sep-2016,"606,24","606,59","604,61","604,73"
27-Sep-2016,"608,02","608,25","604,11","606,17"
26-Sep-2016,"600,81","608,14","600,35","608,04"
25-Sep-2016,"602,75","603,38","599,71","600,83"
24-Sep-2016,"602,96","604,58","602,05","602,63"
23-Sep-2016,"596,2","603,21","595,79","602,84"
22-Sep-2016,"597,28","598,49","596,21","596,3"
21-Sep-2016,"603,59","603,59","595,88","597,15"
20-Sep-2016,"609,25","609,53","607,94","608,31"
19-Sep-2016,"609,87","610,93","608,27","609,23"
18-Sep-2016,"606,28","610,16","605,86","609,87"
17-Sep-2016,"607,22","607,86","605,19","605,98"
16-Sep-2016,"607,25","609,26","606,74","606,97"
15-Sep-2016,"610,59","611,09","607,16","607,16"
14-Sep-2016,"608,84","611,95","608,41","610,68"
